year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
87,64,43,21,13,51,30,96,27.515625,22.150176077981833,27.568573922018167,45.921875,54.078125
88,64,44,20,13,51,32,96,26.921875,23.54911429663734,26.84151070336266,47.109375,52.890625
89,66,45,21,13,53,32,96,27.106060606060606,25.267862861160776,25.353349260051345,46.015151515151516,53.984848484848484
90,68,46,22,15,53,32,96,27.308823529411764,26.257955048817866,24.78616259824096,46.11764705882353,53.88235294117647
91,69,49,20,14,55,32,97,27.217391304347824,26.048995460696258,24.38578714799939,45.26086956521739,54.73913043478261
92,69,49,20,13,56,33,97,27.434782608695652,27.23844614470753,21.491128483883866,44.55072463768116,55.44927536231884
93,69,50,19,13,56,33,98,28.159420289855074,28.129312122379424,21.359184291881416,44.0,56.0
94,69,51,18,13,56,34,98,28.420289855072465,29.524264044095638,20.5626924776435,43.82608695652174,56.17391304347826
95,69,52,17,13,56,34,99,28.652173913043477,30.040745805448672,20.133167238029586,43.89855072463768,56.10144927536232
96,68,52,16,13,55,35,99,29.323529411764707,30.383060526926656,18.690468884838054,44.23529411764706,55.76470588235294
97,67,51,16,12,55,35,100,30.044776119402986,29.20921850199694,19.849825184280924,44.53731343283582,55.46268656716418
98,65,48,17,11,54,37,101,29.892307692307693,28.033705663198372,23.389061540378233,44.353846153846156,55.646153846153844
99,63,46,17,11,52,40,101,29.095238095238095,26.606649221370294,21.924679149218154,45.904761904761905,54.095238095238095
100,64,47,17,11,53,40,101,29.640625,26.263489035557633,23.439635964442367,45.609375,54.390625
101,63,44,19,12,51,42,102,28.666666666666668,24.98450707967095,24.698032602868732,46.34920634920635,53.65079365079365
102,62,44,18,12,50,43,102,29.161290322580644,24.993042693397317,23.4101831130543,46.20967741935484,53.79032258064516
103,60,44,16,12,48,44,103,30.033333333333335,22.383064359440617,25.7842842447561,44.85,55.15
104,60,45,15,14,46,44,103,31.033333333333335,22.66293142241232,25.67040191092101,44.85,55.15
105,60,47,13,13,47,45,103,31.116666666666667,23.057252135850565,25.44274786414944,44.36666666666667,55.63333333333333
