year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
179,60,42,18,13,47,110,111,27.816666666666666,21.117017723308702,33.74964894335797,43.68333333333333,56.31666666666667
180,61,45,16,13,48,110,111,28.360655737704917,20.144714484445903,34.65856420407869,44.22950819672131,55.77049180327869
181,61,44,17,13,48,111,111,28.524590163934427,20.223976624442066,33.333400424738265,44.59016393442623,55.40983606557377
182,64,44,20,13,51,112,111,27.328125,22.0744863949505,34.0348886050495,44.859375,55.140625
183,64,45,19,12,52,112,112,27.53125,20.626894524268668,32.62310547573133,45.453125,54.546875
184,65,45,20,12,53,112,112,28.107692307692307,23.08436022635972,30.992562850563356,44.83076923076923,55.16923076923077
185,63,44,19,13,50,114,112,28.26984126984127,22.629906723532027,29.522238776448535,45.76190476190476,54.23809523809524
186,60,42,18,13,47,118,112,26.783333333333335,22.68175988387598,29.131103269172733,45.4,54.6
187,60,40,20,13,47,120,112,25.933333333333334,23.52100700378212,27.53845262206327,44.18333333333333,55.81666666666667
188,60,39,21,13,47,121,112,26.083333333333332,25.57246114961118,25.59420551705548,43.2,56.8
189,61,39,22,12,49,121,113,25.852459016393443,26.441001738890463,24.739326129961995,43.57377049180328,56.42622950819672
190,59,36,23,13,46,123,115,24.033898305084747,23.469963458124894,27.402021228922603,43.28813559322034,56.71186440677966
191,61,36,25,15,46,123,116,23.262295081967213,23.40832383772174,28.39193562187097,41.83606557377049,58.16393442622951
192,59,35,24,14,45,123,119,22.796610169491526,20.135598813156584,29.291112252754633,42.49152542372882,57.50847457627118
193,60,35,25,15,45,124,120,21.95,20.692897427965654,30.040435905367683,43.8,56.2
194,64,36,28,15,49,124,120,21.578125,24.11472705811145,26.69777294188855,44.90625,55.09375
195,64,36,28,14,50,125,120,21.765625,25.139945097743407,24.20008632147248,43.78125,56.21875
196,65,36,29,15,50,125,121,21.70769230769231,26.44142639328385,24.020112068254612,42.66153846153846,57.33846153846154
197,65,36,29,14,51,125,122,21.846153846153847,26.031041230106922,23.468923883134853,43.10769230769231,56.89230769230769
198,65,39,26,14,51,125,122,22.846153846153847,26.436450325537947,22.532780443692822,43.10769230769231,56.89230769230769
199,62,37,25,12,50,127,123,22.129032258064516,26.272298118757803,20.978390318813023,42.53225806451613,57.46774193548387
200,65,37,28,14,51,127,124,22.0,25.635284953732683,24.45702273857501,42.784615384615385,57.215384615384615
201,66,39,27,16,50,127,124,22.666666666666668,26.120728497448297,21.500483623763824,42.74242424242424,57.25757575757576
202,68,40,28,18,50,127,124,23.0,26.560388663724094,20.704317218628848,43.338235294117645,56.661764705882355
203,71,42,29,18,53,127,124,23.028169014084508,26.840844089002882,20.652113657475986,44.352112676056336,55.647887323943664
204,74,43,31,18,56,127,124,23.094594594594593,28.67175840537295,18.395809162194617,43.513513513513516,56.486486486486484
205,75,42,33,18,57,128,125,22.493333333333332,28.515559770839662,17.764440229160332,45.0,55.0
206,78,44,34,18,60,128,125,22.628205128205128,29.243238630305505,17.461889574822703,45.82051282051282,54.17948717948718
207,78,46,32,18,60,130,125,22.32051282051282,30.301686936546993,15.400598678846324,45.07692307692308,54.92307692307692
208,76,43,33,16,60,132,127,21.31578947368421,29.00859049134708,16.396531589932337,45.69736842105263,54.30263157894737
209,75,45,30,16,59,132,128,21.986666666666668,28.098025822461388,16.87530751087195,45.18666666666667,54.81333333333333
210,77,48,29,16,61,132,128,22.415584415584416,30.13196855992803,17.322576894617434,45.51948051948052,54.48051948051948
211,77,46,31,16,61,133,130,22.207792207792206,30.931630514700952,16.990447407376966,45.753246753246756,54.246753246753244
212,74,45,29,15,59,134,132,22.243243243243242,30.437382618627602,15.495243863295817,45.391891891891895,54.608108108108105
213,71,42,29,13,58,136,134,21.56338028169014,29.346036674809472,17.45669699821181,45.971830985915496,54.028169014084504
214,69,41,28,15,54,136,136,22.057971014492754,27.529536229415093,19.65886956768636,45.84057971014493,54.15942028985507
215,67,38,29,14,53,138,137,21.47761194029851,26.363060642223413,20.84589503438258,45.73134328358209,54.26865671641791
216,69,42,27,14,55,138,137,21.855072463768117,28.038269010768964,20.005209250100602,45.710144927536234,54.289855072463766
217,71,42,29,13,58,139,137,21.47887323943662,28.45017645914523,20.761091146488575,46.309859154929576,53.690140845070424
218,67,39,28,12,55,139,141,21.104477611940297,25.11180163635314,21.653237965537038,46.97014925373134,53.02985074626866
219,67,42,25,12,55,139,141,22.104477611940297,25.91224721125387,20.893722937999858,46.97014925373134,53.02985074626866
220,67,45,22,11,56,139,142,22.313432835820894,24.785002874063878,23.46847568641503,47.44776119402985,52.55223880597015
221,68,46,22,11,57,139,142,22.985294117647058,25.141524533345095,22.50553429018432,47.30882352941177,52.69117647058823
222,68,48,20,10,58,139,143,23.426470588235293,23.655782964297934,23.60706444152125,48.10294117647059,51.89705882352941
223,69,49,20,10,59,139,143,24.08695652173913,24.981047520741583,22.01895247925842,47.44927536231884,52.55072463768116
224,68,52,16,10,58,139,144,24.955882352941178,24.345408875500457,22.3898852421466,47.60294117647059,52.39705882352941
225,69,52,17,14,55,139,144,25.594202898550726,26.030725715558404,21.085216313427104,47.47826086956522,52.52173913043478
226,70,53,17,14,56,139,145,25.728571428571428,24.923490638880626,22.433652218262228,49.0,51.0
227,71,54,17,15,56,140,145,25.633802816901408,27.12657015135539,19.60582421484179,48.29577464788732,51.70422535211268
228,71,54,17,17,54,141,145,25.859154929577464,28.182997284843886,18.16911539121245,48.40845070422535,51.59154929577465
229,74,53,21,16,58,142,145,25.10810810810811,30.161219101280118,17.812334438863065,48.37837837837838,51.62162162162162
230,74,52,22,16,58,142,147,25.10810810810811,28.294580453013566,19.610824952391834,48.08108108108108,51.91891891891892
231,76,50,26,15,61,143,148,24.11842105263158,29.834889521311933,20.217742057635434,47.89473684210526,52.10526315789474
232,75,49,26,17,58,143,150,24.453333333333333,28.43947592931554,20.027190737351123,47.36,52.64
233,74,50,24,16,58,144,151,24.513513513513512,28.303653466754206,19.61526545216471,46.86486486486486,53.13513513513514
234,74,50,24,18,56,145,152,24.283783783783782,29.1681903780157,19.52099881117349,46.71621621621622,53.28378378378378
235,73,48,25,18,55,146,153,24.383561643835616,28.961435369688594,20.079660520722364,47.84931506849315,52.15068493150685
236,75,48,27,19,56,147,153,24.04,31.176454777290054,19.156878556043285,48.08,51.92
237,77,48,29,19,58,147,154,23.92207792207792,31.00800404508392,18.670849950705108,48.298701298701296,51.701298701298704
238,73,45,28,18,55,149,156,23.575342465753426,28.621750921589335,19.29356325492817,48.726027397260275,51.273972602739725
239,73,44,29,19,54,149,158,23.36986301369863,28.659906887511507,19.963716213898767,47.38356164383562,52.61643835616438
240,70,41,29,17,53,150,160,23.52857142857143,27.924434661536527,19.825802174440366,47.3,52.7
241,69,40,29,17,52,150,162,23.768115942028984,26.440305737352173,21.89922494825938,47.15942028985507,52.84057971014493
242,69,40,29,17,52,150,163,24.014492753623188,26.27938219734877,22.792774579762074,47.768115942028984,52.231884057971016
243,71,40,31,18,53,150,164,23.816901408450704,27.013184547919348,23.634702776024316,47.83098591549296,52.16901408450704
244,72,41,31,20,52,150,165,23.944444444444443,27.505791223374963,23.71318295806479,47.44444444444444,52.55555555555556
245,71,42,29,21,50,152,167,23.056338028169016,28.045873946978922,24.05508755128163,47.11267605633803,52.88732394366197
246,76,45,31,21,55,152,167,22.539473684210527,29.46958718015764,24.42514966194763,47.8421052631579,52.1578947368421
247,77,46,31,19,58,153,168,21.948051948051948,30.847901265221996,22.905345488024768,49.58441558441559,50.41558441558441
248,80,47,33,21,59,153,168,22.125,32.899363630090136,20.05063636990986,49.65,50.35
249,82,48,34,21,61,153,168,22.585365853658537,33.69975596693478,18.214878179406682,49.19512195121951,50.80487804878049
250,82,48,34,19,63,154,169,22.353658536585368,34.2629273759006,16.895609209465245,49.18292682926829,50.81707317073171
251,79,45,34,20,59,154,174,21.772151898734176,33.16573138147265,19.31159912574595,49.88607594936709,50.11392405063291
252,79,44,35,20,59,154,176,21.60759493670886,32.67455455668592,21.008989747111546,50.835443037974684,49.164556962025316
